datetime,Volume
2018-05-31,620946476600.0
2018-06-30,621636527300.0
2018-07-31,500448354100.0
2018-08-31,596692685100.0
2018-09-30,630803438100.0
2018-10-31,818312628500.0
2018-11-30,730518473400.0
2018-12-31,690326433200.0
2019-01-31,697989821100.0
2019-02-28,626963759500.0
2019-03-31,741946612600.0
2019-04-30,605671856200.0
2019-05-31,652965246100.0
2019-06-30,579100429900.0
2019-07-31,514955834300.0
2019-08-31,587245055600.0
2019-09-30,627400593600.0
2019-10-31,568121514300.0
2019-11-30,584956696900.0
2019-12-31,567178980400.0
2020-01-31,636667243800.0
2020-02-29,684351059000.0
2020-03-31,1453062224300.0
2020-04-30,982137900600.0
2020-05-31,875483681300.0
2020-06-30,1002212193300.0
2020-07-31,678270512800.0
2020-08-31,605195455200.0
2020-09-30,716068789700.0
2020-10-31,657861166700.0
2020-11-30,827727194000.0
2020-12-31,791017337200.0
2021-01-31,826920095600.0
2021-02-28,841137426800.0
2021-03-31,976206314800.0
2021-04-30,643235146400.0
2021-05-31,692450547000.0
2021-06-30,426503870.0
