datetime,Volume
2017-12-31,-60440893500.0
2018-01-31,163828563000.0
2018-02-28,-29221281400.0
2018-03-31,-18447044100.0
2018-04-30,-51620759800.0
2018-05-31,61090113900.0
2018-06-30,690050700.0
2018-07-31,-121188173200.0
2018-08-31,96244331000.0
2018-09-30,34110753000.0
2018-10-31,187509190400.0
2018-11-30,-87794155100.0
2018-12-31,-40192040200.0
2019-01-31,7663387900.0
2019-02-28,-71026061600.0
2019-03-31,114982853100.0
2019-04-30,-136274756400.0
2019-05-31,47293389900.0
2019-06-30,-73864816200.0
2019-07-31,-64144595600.0
2019-08-31,72289221300.0
2019-09-30,40155538000.0
2019-10-31,-59279079300.0
2019-11-30,16835182600.0
2019-12-31,-17777716500.0
2020-01-31,69488263400.0
2020-02-29,47683815200.0
2020-03-31,768711165300.0
2020-04-30,-470924323700.0
2020-05-31,-106654219300.0
2020-06-30,126728512000.0
2020-07-31,-323941680500.0
2020-08-31,-73075057600.0
2020-09-30,110873334500.0
2020-10-31,-58207623000.0
2020-11-30,169866027300.0
2020-12-31,-36709856800.0
2021-01-31,35902758400.0
2021-02-28,14217331200.0
2021-03-31,135068888000.0
2021-04-30,-332971168400.0
2021-05-31,49215400600.0
2021-06-30,-692024043130.0
